compression_ratio,image_id,noise_level,object_match_accuracy,original_image_size_kb,psnr,quality_label,relation_match_accuracy,semantic_score,semantic_size_bytes,semantic_text,ssim,text_similarity
116182.68965517242,IMG_8797,0.0,1.0,3290.330078125,40.0,high,1.0,1.0,29,"The scene appears simple or partially observed. This reconstructed scene appears to contain 2 objects: potted plant (obj_0), vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",1.0,1.0
0.0,file,0.0,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.0,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
116182.68965517242,IMG_8797,0.1,1.0,3290.330078125,40.0,high,1.0,1.0,29,"The scene appears simple or partially observed. This reconstructed scene appears to contain 2 objects: potted plant (obj_0), vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",1.0,1.0
0.0,file,0.1,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.1,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
116182.68965517242,IMG_8797,0.2,1.0,3290.330078125,40.0,high,1.0,1.0,29,"The scene appears simple or partially observed. This reconstructed scene appears to contain 2 objects: potted plant (obj_0), vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",1.0,1.0
0.0,file,0.2,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.2,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
116182.68965517242,IMG_8797,0.3,1.0,3290.330078125,40.0,high,1.0,1.0,29,"The scene appears simple or partially observed. This reconstructed scene appears to contain 2 objects: potted plant (obj_0), vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",1.0,1.0
0.0,file,0.3,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.3,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
116182.68965517242,IMG_8797,0.4,1.0,3290.330078125,40.0,high,1.0,1.0,29,"The scene appears simple or partially observed. This reconstructed scene appears to contain 2 objects: potted plant (obj_0), vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",1.0,1.0
0.0,file,0.4,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.4,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
336929.8,IMG_8797,0.5,0.5,3290.330078125,35.0,high,1.0,0.7,10,"The scene appears simple or partially observed. This reconstructed scene appears to contain 1 objects: vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",0.75,0.947136563876652
0.0,file,0.5,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.5,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
336929.8,IMG_8797,0.6,0.5,3290.330078125,35.0,high,1.0,0.7,10,"The scene appears simple or partially observed. This reconstructed scene appears to contain 1 objects: vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",0.75,0.947136563876652
0.0,file,0.6,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.6,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
336929.8,IMG_8797,0.7,0.5,3290.330078125,35.0,high,1.0,0.7,10,"The scene appears simple or partially observed. This reconstructed scene appears to contain 1 objects: vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",0.75,0.947136563876652
0.0,file,0.7,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.7,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
336929.8,IMG_8797,0.8,0.5,3290.330078125,35.0,high,1.0,0.7,10,"The scene appears simple or partially observed. This reconstructed scene appears to contain 1 objects: vase (obj_1). No explicit relations survived channel corruption, so spatial and interaction structure is limited.",0.75,0.947136563876652
0.0,file,0.8,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
0.0,sample,0.8,1.0,0.3505859375,40.0,high,1.0,1.0,0,"The semantic channel preserved no recognizable objects, so the scene is only partially recoverable.",1.0,1.0
